Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Year,Value (million US)
G23,Andean Community,IN,India,MIFU,Fuels,M,2015,231
G23,Andean Community,IN,India,MINF,-Non--ferrous metals-,M,2015,88
G23,Andean Community,IN,India,AGFOOF,Other food products,X,2015,27
G23,Andean Community,E28,European Union (28),MINF,-Non--ferrous metals-,X,2015,631
G23,Andean Community,G23,Andean Community,MAIS,Iron and steel,M,2015,148
G23,Andean Community,IN,India,MI,Fuels and mining products,M,2015,321
G23,Andean Community,IN,India,AG,Agricultural products,M,2015,43
G23,Andean Community,IN,India,MI,Fuels and mining products,X,2015,811
G23,Andean Community,IN,India,MACHOC,Other chemicals,X,2015,27
G23,Andean Community,G23,Andean Community,MAIS,Iron and steel,X,2015,162
G23,Andean Community,G23,Andean Community,MI,Fuels and mining products,M,2015,1658
G23,Andean Community,IN,India,AGFOOF,Other food products,M,2015,24
G23,Andean Community,IN,India,MACH,Chemicals,M,2015,533
G23,Andean Community,IN,India,MIFU,Fuels,X,2015,512
G23,Andean Community,IN,India,AGRA,Raw materials,X,2015,41
G23,Andean Community,IN,India,MACHOC,Other chemicals,M,2015,341
G23,Andean Community,IN,India,MINF,-Non--ferrous metals-,X,2015,8
G23,Andean Community,G23,Andean Community,MACH,Chemicals,M,2015,1711
G23,Andean Community,IN,India,AGFO,Food,X,2015,28
G23,Andean Community,E28,European Union (28),MIOR,Ores and other minerals,X,2015,1620
G23,Andean Community,IN,India,MIOR,Ores and other minerals,X,2015,291
G23,Andean Community,G23,Andean Community,AGRA,Raw materials,M,2015,51
G23,Andean Community,G23,Andean Community,AGRA,Raw materials,X,2015,47
G23,Andean Community,G23,Andean Community,MIFU,Fuels,X,2015,1183
G23,Andean Community,G23,Andean Community,AG,Agricultural products,M,2015,2278
G23,Andean Community,G23,Andean Community,MINF,-Non--ferrous metals-,X,2015,300
G23,Andean Community,E28,European Union (28),AGFOOF,Other food products,X,2015,5236
G23,Andean Community,E28,European Union (28),MACH,Chemicals,X,2015,235
G23,Andean Community,E28,European Union (28),MACHOC,Other chemicals,M,2015,2139
G23,Andean Community,E28,European Union (28),AGFOOF,Other food products,M,2015,703
G23,Andean Community,E28,European Union (28),MAIS,Iron and steel,X,2015,58
G23,Andean Community,G23,Andean Community,MACHOC,Other chemicals,X,2015,1323
G23,Andean Community,G23,Andean Community,MINF,-Non--ferrous metals-,M,2015,318
G23,Andean Community,NI4,Four East Asian traders,MINF,-Non--ferrous metals-,M,2015,13
G23,Andean Community,NI4,Four East Asian traders,AGFO,Food,M,2015,41
G23,Andean Community,NI4,Four East Asian traders,MI,Fuels and mining products,M,2015,250
G23,Andean Community,NI4,Four East Asian traders,AG,Agricultural products,X,2015,522
G23,Andean Community,E28,European Union (28),AGFO,Food,M,2015,709
G23,Andean Community,NI4,Four East Asian traders,MIOR,Ores and other minerals,M,2015,4
G23,Andean Community,E28,European Union (28),MAIS,Iron and steel,M,2015,373
G23,Andean Community,G23,Andean Community,MIFU,Fuels,M,2015,1292
G23,Andean Community,E28,European Union (28),AG,Agricultural products,M,2015,800
G23,Andean Community,E28,European Union (28),MI,Fuels and mining products,X,2015,6048
G23,Andean Community,NI4,Four East Asian traders,MACHOC,Other chemicals,M,2015,934
G23,Andean Community,E28,European Union (28),AG,Agricultural products,X,2015,7106
G23,Andean Community,G23,Andean Community,MACHOC,Other chemicals,M,2015,1423
G23,Andean Community,E28,European Union (28),MI,Fuels and mining products,M,2015,692
G23,Andean Community,NI4,Four East Asian traders,AGFOOF,Other food products,M,2015,33
G23,Andean Community,G23,Andean Community,AGFOOF,Other food products,X,2015,1819
G23,Andean Community,IN,India,MAIS,Iron and steel,X,2015,8
G23,Andean Community,IN,India,MIOR,Ores and other minerals,M,2015,2
G23,Andean Community,IN,India,MACH,Chemicals,X,2015,27
G23,Andean Community,G23,Andean Community,AG,Agricultural products,X,2015,2073
G23,Andean Community,G23,Andean Community,AGFO,Food,M,2015,2227
G23,Andean Community,G23,Andean Community,MI,Fuels and mining products,X,2015,1540
G23,Andean Community,IN,India,AG,Agricultural products,X,2015,69
G23,Andean Community,IN,India,AGFO,Food,M,2015,26
G23,Andean Community,G23,Andean Community,MACH,Chemicals,X,2015,1543
G23,Andean Community,E28,European Union (28),MIOR,Ores and other minerals,M,2015,64
G23,Andean Community,G23,Andean Community,AGFOOF,Other food products,M,2015,1981
G23,Andean Community,G23,Andean Community,AGFO,Food,X,2015,2026
G23,Andean Community,NI4,Four East Asian traders,AGRA,Raw materials,X,2015,26
G23,Andean Community,E28,European Union (28),AGRA,Raw materials,X,2015,451
G23,Andean Community,E28,European Union (28),AGRA,Raw materials,M,2015,91
G23,Andean Community,G23,Andean Community,MIOR,Ores and other minerals,X,2015,57
G23,Andean Community,IN,India,AGRA,Raw materials,M,2015,17
G23,Andean Community,NI4,Four East Asian traders,AGRA,Raw materials,M,2015,43
G23,Andean Community,E28,European Union (28),MACH,Chemicals,M,2015,3947
G23,Andean Community,G23,Andean Community,MIOR,Ores and other minerals,M,2015,48
G23,Andean Community,NI4,Four East Asian traders,MI,Fuels and mining products,X,2015,2107
G23,Andean Community,IN,India,MAIS,Iron and steel,M,2015,262
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),MAIS,Iron and steel,X,2015,0
G23,Andean Community,CIO,Other CIS (CIS11),AGRA,Raw materials,M,2015,0
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),MACHOC,Other chemicals,M,2015,571
G23,Andean Community,CIO,Other CIS (CIS11),MINF,-Non--ferrous metals-,M,2015,0
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),AGRA,Raw materials,X,2015,206
G23,Andean Community,NAX,North America,MAIS,Iron and steel,M,2015,631
G23,Andean Community,NAX,North America,AG,Agricultural products,M,2015,5978
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),MIFU,Fuels,X,2015,14
G23,Andean Community,CIO,Other CIS (CIS11),MACH,Chemicals,X,2015,1
G23,Andean Community,E28,European Union (28),MINF,-Non--ferrous metals-,M,2015,64
G23,Andean Community,CIO,Other CIS (CIS11),AGRA,Raw materials,X,2015,46
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),AGFO,Food,X,2015,780
G23,Andean Community,CIO,Other CIS (CIS11),AGFO,Food,X,2015,88
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),MIOR,Ores and other minerals,M,2015,7
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),MACH,Chemicals,X,2015,7
G23,Andean Community,NAX,North America,MIOR,Ores and other minerals,X,2015,767
G23,Andean Community,CIO,Other CIS (CIS11),MAIS,Iron and steel,X,2015,0
G23,Andean Community,CIO,Other CIS (CIS11),MAIS,Iron and steel,M,2015,41
G23,Andean Community,NAX,North America,MI,Fuels and mining products,X,2015,12289
G23,Andean Community,E28,European Union (28),AGFO,Food,X,2015,6654
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),MIOR,Ores and other minerals,X,2015,43
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),MAIS,Iron and steel,M,2015,147
G23,Andean Community,CIO,Other CIS (CIS11),MIFU,Fuels,M,2015,0
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),MINF,-Non--ferrous metals-,M,2015,56
G23,Andean Community,CIO,Other CIS (CIS11),MACH,Chemicals,M,2015,10
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),MIFU,Fuels,M,2015,0
G23,Andean Community,CIO,Other CIS (CIS11),MI,Fuels and mining products,X,2015,23
G23,Andean Community,E28,European Union (28),MIFU,Fuels,X,2015,3797
G23,Andean Community,NAX,North America,AGFOOF,Other food products,X,2015,4961
G23,Andean Community,CIO,Other CIS (CIS11),MACHOC,Other chemicals,X,2015,1
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),AGFOOF,Other food products,M,2015,33
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),AGFO,Food,M,2015,33
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),AG,Agricultural products,X,2015,986
G23,Andean Community,NAX,North America,AGFOOF,Other food products,M,2015,5471
G23,Andean Community,CIO,Other CIS (CIS11),AGFO,Food,M,2015,3
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),MI,Fuels and mining products,X,2015,57
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),AG,Agricultural products,M,2015,41
G23,Andean Community,E28,European Union (28),MACHOC,Other chemicals,X,2015,202
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),AGFOOF,Other food products,X,2015,745
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),MACH,Chemicals,M,2015,571
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),MINF,-Non--ferrous metals-,X,2015,0
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),AGRA,Raw materials,M,2015,9
G23,Andean Community,NAX,North America,MINF,-Non--ferrous metals-,X,2015,959
G23,Andean Community,CIO,Other CIS (CIS11),MIOR,Ores and other minerals,M,2015,0
G23,Andean Community,NAX,North America,MIFU,Fuels,X,2015,10564
G23,Andean Community,NAX,North America,AGFO,Food,X,2015,6178
G23,Andean Community,CIO,Other CIS (CIS11),MACHOC,Other chemicals,M,2015,10
G23,Andean Community,CIO,Other CIS (CIS11),MIFU,Fuels,X,2015,14
G23,Andean Community,CIO,Other CIS (CIS11),AG,Agricultural products,M,2015,3
G23,Andean Community,CIO,Other CIS (CIS11),MINF,-Non--ferrous metals-,X,2015,0
