DBA,CUISINE DESCRIPTION,VIOLATION CODE,VIOLATION DESCRIPTION,SCORE,BORO,BUILDING,STREET,ZIPCODE,Address,
CROWN FRIED CHICKEN,Chicken,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,55,BROOKLYN,1109,CLARKSON AVE,11212,"1109 CLARKSON AVE, BROOKLYN, New York City, 11212",
ERIN MCKERRA'S BAKERY,Bakery,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,33,MANHATTAN,248,BROOME ST,10002,"248 BROOME ST, MANHATTAN, New York City, 10002",
GEO SI GI,Korean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,58,QUEENS,15228,NORTHERN BOULEVARD,11354,"15228 NORTHERN BOULEVARD, QUEENS, New York City, 11354",
SUSHI TOKYO,Jewish/Kosher,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,13,BROOKLYN,1360,CONEY ISLAND AVE,11230,"1360 CONEY ISLAND AVE, BROOKLYN, New York City, 11230",
S & R LE JUICE BAR,"Juice, Smoothies, Fruit Salads",04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,25,BRONX,254B,E GUNHILL RD,10467,"254B E GUNHILL RD, BRONX, New York City, 10467",
YO-YO FRITAILLE,Creole,04M,Live roaches present in facility's food and/or non-food areas.,49,BROOKLYN,1758,NOSTRAND AVENUE,11226,"1758 NOSTRAND AVENUE, BROOKLYN, New York City, 11226",
EL NUEVO ROBLE BILLIARDS,Spanish,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,51,BRONX,216,E 170TH ST,10456,"216 E 170TH ST, BRONX, New York City, 10456",
MANNA'S RESTAURANT,Soul Food,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",50,MANHATTAN,2353,8 AVENUE,10027,"2353 8 AVENUE, MANHATTAN, New York City, 10027",
ARA Y LOS GUEROS BAKERY,Mexican,04M,Live roaches present in facility's food and/or non-food areas.,79,BRONX,1106,WESTCHESTER AVE,10459,"1106 WESTCHESTER AVE, BRONX, New York City, 10459",
BRISAS DEL MAR SEAFOOD MARKET,Seafood,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",61,MANHATTAN,1785-1787,LEXINGTON AVENUE,10029,"1785-1787 LEXINGTON AVENUE, MANHATTAN, New York City, 10029",
PERFECT PICNIC,Sandwiches,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,74,MANHATTAN,81,ALLEN ST,10002,"81 ALLEN ST, MANHATTAN, New York City, 10002",
THE TOMBSTONE SALOON,Irish,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,12,BRONX,119,E 233 STREET,10470,"119 E 233 STREET, BRONX, New York City, 10470",
GRAND NO. 1 RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,44,BRONX,1735,DR MARTIN L KING JR BOULEVARD,10453,"1735 DR MARTIN L KING JR BOULEVARD, BRONX, New York City, 10453",
THE PIZZA PUB / AMPERSAND,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,21,MANHATTAN,294,3 AVENUE,10010,"294 3 AVENUE, MANHATTAN, New York City, 10010",
DELI & GRILL,Delicatessen,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,17,BROOKLYN,5425,5TH AVE,11220,"5425 5TH AVE, BROOKLYN, New York City, 11220",
CREOLE BUFFET RESTAURANT,Caribbean,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",83,QUEENS,215-07,JAMAICA AVENUE,11428,"215-07 JAMAICA AVENUE, QUEENS, New York City, 11428",
LENOX FAST FOOD,American,04M,Live roaches present in facility's food and/or non-food areas.,52,MANHATTAN,657,LENOX AVENUE,10037,"657 LENOX AVENUE, MANHATTAN, New York City, 10037",
THE PAVILION MARKET PLACE,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,108,MANHATTAN,20,Union Sq. W,10003,"20 Union Sq. W, MANHATTAN, New York City, 10003",
LOS TAQUITOS DEL TIO,Spanish,04M,Live roaches present in facility's food and/or non-food areas.,69,QUEENS,3215,JUNCTION BLVD,11369,"3215 JUNCTION BLVD, QUEENS, New York City, 11369",
PAESANO'S PIZZA,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,77,STATEN ISLAND,12,BRADLEY AVENUE,10314,"12 BRADLEY AVENUE, STATEN ISLAND, New York City, 10314",
JEROME'S PIZZA & PASTA,Pizza,04M,Live roaches present in facility's food and/or non-food areas.,45,BRONX,21,EAST BEDFORD PARK BOULEVARD E,10468,"21 EAST BEDFORD PARK BOULEVARD E, BRONX, New York City, 10468",
MR. THAI RESTAURANT,Thai,04M,Live roaches present in facility's food and/or non-food areas.,17,BROOKLYN,378,METROPOLITAN AVENUE,11211,"378 METROPOLITAN AVENUE, BROOKLYN, New York City, 11211",
MANNA CATERING,Jewish/Kosher,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10,QUEENS,4225,VERNON BOULEVARD,11101,"4225 VERNON BOULEVARD, QUEENS, New York City, 11101",
MANNA HOUSE,Bakery,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,37,MANHATTAN,125,MOTT STREET,10013,"125 MOTT STREET, MANHATTAN, New York City, 10013",
COCO ROCO RESTAURANT,Peruvian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,32,BROOKLYN,392,5 AVENUE,11215,"392 5 AVENUE, BROOKLYN, New York City, 11215",
BROOKLYNS FINEST PIZZA & RESTAURANT,Pizza/Italian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,56,STATEN ISLAND,1250,HYLAN BOULEVARD,10305,"1250 HYLAN BOULEVARD, STATEN ISLAND, New York City, 10305",
RIDGEWAY DINER,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,57,MANHATTAN,664,6 AVENUE,10010,"664 6 AVENUE, MANHATTAN, New York City, 10010",
MONA KITCHEN & MARKET,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,60,MANHATTAN,310,E 44TH ST,10017,"310 E 44TH ST, MANHATTAN, New York City, 10017",
FIKA,Caf̩/Coffee/Tea,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",10,MANHATTAN,407,PARK AVE S,10016,"407 PARK AVE S, MANHATTAN, New York City, 10016",
T. K. KITCHEN,Asian,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",35,MANHATTAN,26,SAINT MARKS PLACE,10003,"26 SAINT MARKS PLACE, MANHATTAN, New York City, 10003",
GOLDEN PALACE CHINESE RESTAURANT,Chinese,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.",65,BRONX,682,CASTLE HILL AVENUE,10473,"682 CASTLE HILL AVENUE, BRONX, New York City, 10473",
ADDEO'S RIVERDALE PIZZERIA,Pizza/Italian,04M,Live roaches present in facility's food and/or non-food areas.,51,BRONX,5654,RIVERDALE AVENUE,10471,"5654 RIVERDALE AVENUE, BRONX, New York City, 10471",
JIMBO'S HAMBURGERS,American,04M,Live roaches present in facility's food and/or non-food areas.,36,MANHATTAN,703,LENOX AVE,10039,"703 LENOX AVE, MANHATTAN, New York City, 10039",
SIMPLY BAKERY,Bakery,04M,Live roaches present in facility's food and/or non-food areas.,58,MANHATTAN,70,BAYARD STREET,10013,"70 BAYARD STREET, MANHATTAN, New York City, 10013",
SEABIRD,Seafood,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,44,MANHATTAN,361,6TH AVE,10014,"361 6TH AVE, MANHATTAN, New York City, 10014",
MCDONALD'S,Hamburgers,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",40,MANHATTAN,541,6TH AVE,10011,"541 6TH AVE, MANHATTAN, New York City, 10011",
KRAJA CAFE,Mediterranean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,48,STATEN ISLAND,837,FATHER CAPODANNO BLVD,10305,"837 FATHER CAPODANNO BLVD, STATEN ISLAND, New York City, 10305",
DI FARA PIZZERIA,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,39,BROOKLYN,1424,AVENUE J,11230,"1424 AVENUE J, BROOKLYN, New York City, 11230",
THE LIGHTHOUSE,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",97,BROOKLYN,126,FRONT ST,11201,"126 FRONT ST, BROOKLYN, New York City, 11201",
APNAR PIZZA BURGER & FRIED CHICKEN,Pizza,04M,Live roaches present in facility's food and/or non-food areas.,49,QUEENS,16719,HILLSIDE AVE,11432,"16719 HILLSIDE AVE, QUEENS, New York City, 11432",
OBAO,Thai,04M,Live roaches present in facility's food and/or non-food areas.,55,MANHATTAN,222,EAST   53 STREET,10022,"222 EAST   53 STREET, MANHATTAN, New York City, 10022",
SPICE,Caribbean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,73,QUEENS,10005,ATLANTIC AVE,11418,"10005 ATLANTIC AVE, QUEENS, New York City, 11418",
PIZZA ITALIA,Pizza/Italian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,51,MANHATTAN,307,W 17TH ST,10011,"307 W 17TH ST, MANHATTAN, New York City, 10011",
LEGEND BAR & RESTAURANT,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,53,MANHATTAN,88,7 AVENUE,10011,"88 7 AVENUE, MANHATTAN, New York City, 10011",
MESIVTA EITZ CHAIM,Jewish/Kosher,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,44,BROOKLYN,1577,48 STREET,11219,"1577 48 STREET, BROOKLYN, New York City, 11219",
EAST NOODLE VILLAGE,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40,MANHATTAN,85,CHRYSTIE ST,10002,"85 CHRYSTIE ST, MANHATTAN, New York City, 10002",
BROOKLYN STOOPS,American,04M,Live roaches present in facility's food and/or non-food areas.,16,BROOKLYN,748,MYRTLE AVENUE,11205,"748 MYRTLE AVENUE, BROOKLYN, New York City, 11205",
BASERA INDIAN BISTRO,Indian,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",106,MANHATTAN,745,9 AVENUE,10019,"745 9 AVENUE, MANHATTAN, New York City, 10019",
FELFLA,Middle Eastern,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",55,BROOKLYN,6906,3 AVENUE,11209,"6906 3 AVENUE, BROOKLYN, New York City, 11209",
ROYAL BANGLADESH INDIAN RESTAURANT,Bangladeshi,04M,Live roaches present in facility's food and/or non-food areas.,48,MANHATTAN,93,1 AVENUE,10003,"93 1 AVENUE, MANHATTAN, New York City, 10003",
SHINJUNG GALBI BBQ KOREAN RESTAURANT,Korean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40,QUEENS,16013,NORTHERN BOULEVARD,11358,"16013 NORTHERN BOULEVARD, QUEENS, New York City, 11358",
OLEA,Mediterranean,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",85,BROOKLYN,171,LAFAYETTE AVENUE,11238,"171 LAFAYETTE AVENUE, BROOKLYN, New York City, 11238",
HOP WON EXPRESS,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,34,MANHATTAN,139,E 45TH ST,10017,"139 E 45TH ST, MANHATTAN, New York City, 10017",
BERMUDEZ BAKERY,Bakery,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,56,MANHATTAN,1875,LEXINGTON AVENUE,10035,"1875 LEXINGTON AVENUE, MANHATTAN, New York City, 10035",
SUN HING RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40,BROOKLYN,623,LIVONIA AVENUE,11207,"623 LIVONIA AVENUE, BROOKLYN, New York City, 11207",
EL CASTILLO DE MADISON,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04M,Live roaches present in facility's food and/or non-food areas.,55,MANHATTAN,207,MADISON STREET,10002,"207 MADISON STREET, MANHATTAN, New York City, 10002",
AROME CAFE 32,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",27,MANHATTAN,138,WEST   32 STREET,10001,"138 WEST   32 STREET, MANHATTAN, New York City, 10001",
CENTRO ESPANOL,Spanish,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",60,QUEENS,4101,BROADWAY,11103,"4101 BROADWAY, QUEENS, New York City, 11103",
OUR PLACE CHINA CHALET,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,54,MANHATTAN,242,EAST   79 STREET,10075,"242 EAST   79 STREET, MANHATTAN, New York City, 10075",
JOHN'S PIZZA,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,41,QUEENS,11115,LEFFERTS BOULEVARD,11420,"11115 LEFFERTS BOULEVARD, QUEENS, New York City, 11420",
POPEYES LOUISIANA KITCHEN,Chicken,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",47,BROOKLYN,702,ROCKAWAY AVENUE,11212,"702 ROCKAWAY AVENUE, BROOKLYN, New York City, 11212",
SILVER KRUST WEST INDIAN RESTAURANT,Caribbean,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",84,BROOKLYN,9001,AVENUE A,11236,"9001 AVENUE A, BROOKLYN, New York City, 11236",
PARM,Italian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,41,MANHATTAN,248,MULBERRY STREET,10012,"248 MULBERRY STREET, MANHATTAN, New York City, 10012",
TAJ MAHAL,Indian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,82,BROOKLYN,396,5TH AVE,11215,"396 5TH AVE, BROOKLYN, New York City, 11215",
SING WAH RESTAURANT,Chinese,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,56,BROOKLYN,1394,SAINT JOHNS PL,11213,"1394 SAINT JOHNS PL, BROOKLYN, New York City, 11213",
BLOSSOM DU JOUR,Vegetarian,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12,MANHATTAN,449,AMSTERDAM AVE,10024,"449 AMSTERDAM AVE, MANHATTAN, New York City, 10024",
MAMA  MECHO,Spanish,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,50,BROOKLYN,200,KNICKERBOCKER AVE,11237,"200 KNICKERBOCKER AVE, BROOKLYN, New York City, 11237",
ALMASRY RESTAURANT,Middle Eastern,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,51,BROOKLYN,1178,FULTON STREET,11216,"1178 FULTON STREET, BROOKLYN, New York City, 11216",
BLIMPIE,Sandwiches,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11,MANHATTAN,1928,3 AVENUE,10029,"1928 3 AVENUE, MANHATTAN, New York City, 10029",
TOKYO BAY,Japanese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40,BROOKLYN,611,86TH ST,11209,"611 86TH ST, BROOKLYN, New York City, 11209",
SUGAR AND PLUMM,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,33,MANHATTAN,377,AMSTERDAM AVENUE,10024,"377 AMSTERDAM AVENUE, MANHATTAN, New York City, 10024",
"DELICIAS CUENCANAS BAR-RESTAURANT DELI,","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",62,QUEENS,4107,99 STREET,11368,"4107 99 STREET, QUEENS, New York City, 11368",
CAS' WEST INDIAN & AMERICAN RESTAURANT,Caribbean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11,BROOKLYN,135,KINGSTON AVENUE,11213,"135 KINGSTON AVENUE, BROOKLYN, New York City, 11213",
EL RINCON DEL SABOR LATINO,Spanish,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,38,MANHATTAN,74,W 47TH ST,10036,"74 W 47TH ST, MANHATTAN, New York City, 10036",
LUI'S THAI FOOD,Thai,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",67,MANHATTAN,128,E 4TH ST,10003,"128 E 4TH ST, MANHATTAN, New York City, 10003",
T BAAR,"Juice, Smoothies, Fruit Salads",04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,44,BROOKLYN,4823,8 AVENUE,11220,"4823 8 AVENUE, BROOKLYN, New York City, 11220",
BRASSERIE ATHENEE,Mediterranean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40,MANHATTAN,300,WEST   46 STREET,10036,"300 WEST   46 STREET, MANHATTAN, New York City, 10036",
CAFE PASHTRIKU,Caf̩/Coffee/Tea,04M,Live roaches present in facility's food and/or non-food areas.,43,BRONX,741,ASTOR AVENUE,10467,"741 ASTOR AVENUE, BRONX, New York City, 10467",
PAPA JOHN'S,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,12,QUEENS,16525,LIBERTY AVENUE,11433,"16525 LIBERTY AVENUE, QUEENS, New York City, 11433",
NY PIZZA GRILL & CAFE,American,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,77,QUEENS,9114,SUTPHIN BLVD,11435,"9114 SUTPHIN BLVD, QUEENS, New York City, 11435",
YU GARDEN DUMPLING HOUSE,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,81,QUEENS,4620,KISSENA BLVD,11355,"4620 KISSENA BLVD, QUEENS, New York City, 11355",
GRULLON BAKERY,Bakery,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,45,MANHATTAN,3522,BROADWAY,10031,"3522 BROADWAY, MANHATTAN, New York City, 10031",
LA FOGATA,Spanish,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,64,BROOKLYN,1912,86TH ST,11214,"1912 86TH ST, BROOKLYN, New York City, 11214",
DOMINO'S,Pizza,04M,Live roaches present in facility's food and/or non-food areas.,45,BROOKLYN,146,SMITH STREET,11201,"146 SMITH STREET, BROOKLYN, New York City, 11201",
SWEET DREAM BAKERY,Bakery,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,65,BROOKLYN,4612,7TH AVE,11220,"4612 7TH AVE, BROOKLYN, New York City, 11220",
MANNA HOUSE,Bakery,04M,Live roaches present in facility's food and/or non-food areas.,37,MANHATTAN,125,MOTT STREET,10013,"125 MOTT STREET, MANHATTAN, New York City, 10013",
JAVA DAY CAFE,Caf̩/Coffee/Tea,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,55,QUEENS,16009,NORTHERN BOULEVARD,11358,"16009 NORTHERN BOULEVARD, QUEENS, New York City, 11358",
MCDONALD'S,Hamburgers,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,33,BROOKLYN,943,FLATBUSH AVENUE,11226,"943 FLATBUSH AVENUE, BROOKLYN, New York City, 11226",
BURRITO BAR,Tex-Mex,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,48,BROOKLYN,307311,FLATBUSH AVENUE,11217,"307311 FLATBUSH AVENUE, BROOKLYN, New York City, 11217",
DESI GRILL INDIAN CUISINE,Indian,04M,Live roaches present in facility's food and/or non-food areas.,51,BROOKLYN,46,WYCKOFF AVE,11237,"46 WYCKOFF AVE, BROOKLYN, New York City, 11237",
BABA COOL,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,33,BROOKLYN,64,LAFAYETTE AVE,11217,"64 LAFAYETTE AVE, BROOKLYN, New York City, 11217",
88 PALACE RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,111,MANHATTAN,88,EAST BROADWAY,10002,"88 EAST BROADWAY, MANHATTAN, New York City, 10002",
SICHUAN HOT POT CUISINE,Chinese,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",59,MANHATTAN,34,PELL ST,10013,"34 PELL ST, MANHATTAN, New York City, 10013",
MEI HAO RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,42,BROOKLYN,4415,8 AVENUE,11220,"4415 8 AVENUE, BROOKLYN, New York City, 11220",
MR. WONTON,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,49,QUEENS,2604,JACKSON AVENUE,11101,"2604 JACKSON AVENUE, QUEENS, New York City, 11101",
SALLY'S COFFEE SHOP,Middle Eastern,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,33,BROOKLYN,8501,3 AVENUE,11209,"8501 3 AVENUE, BROOKLYN, New York City, 11209",
EVERYTHING YOGURT/GRETEL'S PRETZELS,"Ice Cream, Gelato, Yogurt, Ices",04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,37,BROOKLYN,5371,KINGS PLAZA MALL,11234,"5371 KINGS PLAZA MALL, BROOKLYN, New York City, 11234",
MIRCH,Indian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,25,QUEENS,17227,HILLSIDE AVE,11432,"17227 HILLSIDE AVE, QUEENS, New York City, 11432",
CARIDAD & LOUIE'S RESTAURANT,Spanish,04M,Live roaches present in facility's food and/or non-food areas.,28,BRONX,1660,EAST GUN HILL ROAD,10469,"1660 EAST GUN HILL ROAD, BRONX, New York City, 10469",
CHANCE,Asian,04M,Live roaches present in facility's food and/or non-food areas.,10,BROOKLYN,223,SMITH ST,11201,"223 SMITH ST, BROOKLYN, New York City, 11201",
NARUTO RAMEN,Japanese,04M,Live roaches present in facility's food and/or non-food areas.,15,MANHATTAN,2634,BROADWAY,10025,"2634 BROADWAY, MANHATTAN, New York City, 10025",
EL RANCHO LOS COMPADRES,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04M,Live roaches present in facility's food and/or non-food areas.,50,MANHATTAN,110,SHERMAN AVENUE,10034,"110 SHERMAN AVENUE, MANHATTAN, New York City, 10034",
SUN SAI GAI RESTAURANT,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,48,MANHATTAN,220,CANAL STREET,10013,"220 CANAL STREET, MANHATTAN, New York City, 10013",
FRESH 2 GO DELI,Delicatessen,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,54,MANHATTAN,607,9TH AVE,10036,"607 9TH AVE, MANHATTAN, New York City, 10036",
LEGEND COOKHOUSE,Caribbean,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",45,QUEENS,13511,ROCKAWAY BOULEVARD,11420,"13511 ROCKAWAY BOULEVARD, QUEENS, New York City, 11420",
JACOB'S PICKLES,American,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,106,MANHATTAN,509,AMSTERDAM AVENUE,10024,"509 AMSTERDAM AVENUE, MANHATTAN, New York City, 10024",
CAFE KITCHEN (CENTERPLATE CAFE AND KITCHEN),American,04M,Live roaches present in facility's food and/or non-food areas.,42,MANHATTAN,655,WEST   34 STREET,10001,"655 WEST   34 STREET, MANHATTAN, New York City, 10001",
HOMETOWN CUISINE,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,81,BROOKLYN,5017,8 AVENUE,11220,"5017 8 AVENUE, BROOKLYN, New York City, 11220",
MOLDOVA,Eastern European,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,50,BROOKLYN,1827,CONEY ISLAND AVENUE,11230,"1827 CONEY ISLAND AVENUE, BROOKLYN, New York City, 11230",
DOUBLE TOP CHINA & TORTILLA TACO,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,38,BROOKLYN,1774,FLATBUSH AVE,11210,"1774 FLATBUSH AVE, BROOKLYN, New York City, 11210",
NEW TANDOORI HUT,Indian,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,53,QUEENS,11908,94TH AVE,11419,"11908 94TH AVE, QUEENS, New York City, 11419",
URBAN RUSTIC,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",45,BROOKLYN,236,NORTH   12 STREET,11211,"236 NORTH   12 STREET, BROOKLYN, New York City, 11211",
CHOLULA DELI GROCERY,Mexican,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,70,BROOKLYN,222,WYCKOFF AVENUE,11237,"222 WYCKOFF AVENUE, BROOKLYN, New York City, 11237",
COSI,Sandwiches/Salads/Mixed Buffet,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.",74,MANHATTAN,55,BROAD STREET,10004,"55 BROAD STREET, MANHATTAN, New York City, 10004",
MASAL CAFE & LOUNGE,Turkish,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,53,BROOKLYN,1901,EMMONS AVENUE,11235,"1901 EMMONS AVENUE, BROOKLYN, New York City, 11235",
"IRIS TEA & BAKERY, QUICKLY",Bakery,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,14,QUEENS,3907,PRINCE ST,11354,"3907 PRINCE ST, QUEENS, New York City, 11354",
ASIAN GARDEN L & Y,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,45,QUEENS,8417,JAMAICA AVE,11421,"8417 JAMAICA AVE, QUEENS, New York City, 11421",
ASIAN STATION BISTRO,Asian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,49,MANHATTAN,155,EAST   52 STREET,10022,"155 EAST   52 STREET, MANHATTAN, New York City, 10022",
